group,T1026-D1,T1027-D1,T1029-D1,T1030-D1,T1030-D2,T1031-D1,T1032-D1,T1033-D1,T1034-D1,T1035-D1,T1037-D1,T1038-D1,T1038-D2,T1039-D1,T1040-D1,T1041-D1,T1042-D1,T1053-D1,T1053-D2,T1056-D1,T1057-D1,T1058-D1,T1058-D2,T1064-D1,T1067-D1,T1068-D1,T1073-D1,T1074-D1,T1083-D1,T1086-D1,T1086-D2,T1089-D1,T1090-D1,T1092-D1,T1092-D2,T1094-D1,T1094-D2,T1095-D1,T1100-D1,T1100-D2,T1101-D1,T1101-D2
G005,0.6849,0.39390000000000003,0.424,0.6217,0.42229999999999995,0.2816,0.5573,0.2975,0.8125,0.826,0.5303,0.3728,0.6217,0.5047,0.20579999999999998,0.5238,0.47009999999999996,0.51,0.5746,0.5311,0.8405,0.1458,0.1801,0.231,0.36200000000000004,0.5279,0.8898,0.3655,0.8125,0.6386,0.5652,0.6127,0.5794,0.5143,0.6104999999999999,0.306,0.5832999999999999,0.2234,0.5089,0.4905,0.9127,0.6589
G009,0.7071999999999999,0.39649999999999996,0.418,0.664,0.5231,0.5421,0.5559000000000001,0.6375,0.8253,0.9068999999999999,0.539,0.32020000000000004,0.6612,0.264,0.27690000000000003,0.5393,0.4493,0.5416,0.6462,0.5089,0.8190999999999999,0.674,0.7329000000000001,0.231,0.34840000000000004,0.6075,0.8432,0.3845,0.856,0.6826000000000001,0.7048000000000001,0.6936,0.6071,0.5204,0.6685,0.4838,0.7705,0.3407,0.7027,0.6879000000000001,0.9398000000000001,0.653
G013,0.44689999999999996,0.3131,0.40399999999999997,0.711,0.36340000000000006,0.2526,0.5544,0.2825,0.8637999999999999,0.223,0.0928,0.3553,0.5559000000000001,0.29969999999999997,0.2365,0.1663,0.135,0.4362,0.6345000000000001,0.5147999999999999,0.8628,0.7512000000000001,0.823,0.2609,0.38799999999999996,0.41479999999999995,0.8305,0.3693,0.8423999999999999,0.5557,0.5785,0.6565000000000001,0.49340000000000006,0.4561,0.7666,0.1832,0.2488,0.3704,0.5828,0.6322,0.8946,0.6507
G014,0.3613,0.23739999999999997,0.244,0.1656,0.3235,0.23420000000000002,0.45880000000000004,0.32,0.7659999999999999,0.2475,0.07980000000000001,0.1754,0.1974,0.1739,0.20579999999999998,0.1198,0.0897,0.0817,0.1769,0.40979999999999994,0.6362,0.185,0.1693,0.4294,0.40270000000000006,0.1886,0.589,0.1326,0.5136,0.6321,0.4375,0.6134000000000001,0.1389,0.20199999999999999,0.674,0.38630000000000003,0.1679,0.2986,0.1642,0.17989999999999998,0.7831,0.5935
G015,0.5257000000000001,0.4217,0.41600000000000004,0.6054999999999999,0.4916,0.2553,0.5412,0.3425,0.7724,0.28190000000000004,0.46840000000000004,0.307,0.6842,0.2671,0.20579999999999998,0.499,0.3578,0.5065,0.6154999999999999,0.5666,0.7937000000000001,0.7451000000000001,0.7702,0.2418,0.40840000000000004,0.5711999999999999,0.8983,0.5075999999999999,0.28800000000000003,0.6775,0.6928,0.6552,0.4987,0.4122,0.6533,0.3583,0.5652,0.1863,0.7071,0.6783,0.8493999999999999,0.5713
G018,0.7585999999999999,0.33590000000000003,0.408,0.7078,0.521,0.2921,0.5382,0.46,0.8493999999999999,0.4338,0.11199999999999999,0.3246,0.6315999999999999,0.2655,0.3981,0.2169,0.1368,0.5479999999999999,0.6579,0.5533,0.8242,0.7609999999999999,0.7391,0.212,0.4366,0.5475,0.8729,0.3693,0.8587,0.6826000000000001,0.7326999999999999,0.6837000000000001,0.586,0.5031,0.6809000000000001,0.4702,0.7162000000000001,0.33990000000000004,0.6109,0.7212999999999999,0.9367,0.6647
G024,0.35960000000000003,0.3864,0.382,0.6169,0.3655,0.6579,0.5397,0.3875,0.7789,0.8578,0.6052000000000001,0.3224,0.5855,0.26239999999999997,0.45189999999999997,0.6333,0.5525,0.5294,0.6857,0.5473,0.7937000000000001,0.7218000000000001,0.6972,0.29350000000000004,0.3518,0.5084000000000001,0.8390000000000001,0.483,0.8288,0.6839,0.6103999999999999,0.6041,0.5145000000000001,0.551,0.6271,0.2094,0.7814,0.26539999999999997,0.6331,0.5828,0.8886,0.6192
G026,0.625,0.3611,0.436,0.6169,0.4244,0.3632,0.6059,0.3125,0.7724,0.8504999999999999,0.513,0.30920000000000003,0.648,0.2748,0.2577,0.48450000000000004,0.1739,0.48210000000000003,0.6637000000000001,0.5917,0.8384,0.6225999999999999,0.6382,0.2446,0.5034000000000001,0.5559000000000001,0.8729,0.37689999999999996,0.8451000000000001,0.706,0.6701999999999999,0.7148,0.5331,0.3704,0.5193,0.4702,0.7826000000000001,0.2905,0.5932,0.6975,0.9428,0.6472
G031,0.536,0.41409999999999997,0.38799999999999996,0.6103999999999999,0.3172,0.6605,0.5529,0.28,0.8220999999999999,0.8652,0.6231,0.3224,0.5855,0.5668,0.4558,0.6384000000000001,0.5479999999999999,0.5014,0.6213000000000001,0.5385,0.8039000000000001,0.6605,0.6972,0.2663,0.47850000000000004,0.5405,0.8559,0.3712,0.8098000000000001,0.6878,0.7154,0.7036,0.5132,0.5745,0.7845,0.4901,0.7862,0.3688,0.5799,0.5255,0.8886,0.6904
G032,0.6764,0.35609999999999997,0.424,0.6705,0.5252,0.3,0.5573,0.31,0.8332999999999999,0.5882000000000001,0.5111,0.3136,0.6579,0.2593,0.21539999999999998,0.5362,0.46380000000000005,0.5351,0.6374,0.5325,0.8393999999999999,0.7365,0.764,0.21739999999999998,0.4683,0.5195000000000001,0.8220000000000001,0.428,0.8288,0.6981999999999999,0.6263000000000001,0.6757,0.6138,0.6286,0.7417,0.4413,0.46740000000000004,0.3958,0.679,0.6496999999999999,0.9307,0.6015999999999999
G039,0.6747,0.43689999999999996,0.406,0.7029000000000001,0.5462,0.2842,0.5294,0.3225,0.8237000000000001,0.8504999999999999,0.474,0.3136,0.6908,0.2733,0.24420000000000003,0.5413,0.46009999999999995,0.5122,0.5731,0.5917,0.7998000000000001,0.6373,0.7329000000000001,0.2364,0.4412,0.5223,0.8475,0.4678,0.8776999999999999,0.7552,0.5690999999999999,0.7148,0.5119,0.6388,0.7376,0.4901,0.7862,0.3704,0.5650999999999999,0.5255,0.8946,0.6542
G042,0.6284000000000001,0.4571,0.418,0.2386,0.3193,0.7105,0.5529,0.3375,0.8397,0.8162,0.5507,0.30260000000000004,0.6414,0.2748,0.375,0.5919,0.5471,0.5809000000000001,0.6652,0.5428999999999999,0.7774,0.7218000000000001,0.7158,0.2636,0.36200000000000004,0.5223,0.8559,0.46590000000000004,0.8342,0.7047,0.5279,0.693,0.5159,0.5796,0.6878,0.4567,0.7837999999999999,0.4128,0.6391,0.5733,0.8946,0.6542
G050,0.5307999999999999,0.2778,0.302,0.2743,0.3193,0.2316,0.4794,0.43,0.8269,0.28190000000000004,0.0774,0.2237,0.4079,0.2531,0.2115,0.14150000000000001,0.1259,0.1841,0.1623,0.5059,0.6972,0.1936,0.4255,0.1685,0.405,0.44409999999999994,0.8390000000000001,0.1837,0.5571,0.6528,0.4548,0.6399,0.1561,0.35100000000000003,0.6146,0.4395,0.1534,0.36460000000000004,0.5089,0.1911,0.7770999999999999,0.6425
G052,0.17809999999999998,0.2576,0.262,0.20620000000000002,0.3845,0.2158,0.3882,0.2875,0.7756000000000001,0.2034,0.0904,0.136,0.2303,0.21739999999999998,0.21350000000000002,0.12710000000000002,0.1096,0.09880000000000001,0.2705,0.4556,0.6717,0.1875,0.1957,0.1848,0.172,0.39659999999999995,0.3432,0.1875,0.625,0.5661,0.3923,0.067,0.12300000000000001,0.1316,0.6575,0.0767,0.0978,0.20489999999999997,0.4334,0.1943,0.259,0.6004999999999999
G061,0.1575,0.3763,0.434,0.6299,0.4454,0.2842,0.5073,0.29,0.6618999999999999,0.799,0.4808,0.35090000000000005,0.5428000000000001,0.2826,0.2192,0.5155,0.5091,0.40399999999999997,0.614,0.4763,0.7663,0.6568999999999999,0.7406999999999999,0.23370000000000002,0.2579,0.4693,0.8390000000000001,0.17420000000000002,0.8423999999999999,0.6904,0.5452,0.561,0.5185,0.502,0.7071999999999999,0.41969999999999996,0.1703,0.341,0.6612,0.6481,0.8825,0.6051
