,NarrativeQA - F1,NaturalQuestions (open-book) - F1,NaturalQuestions (closed-book) - F1,OpenbookQA - EM,MMLU - EM,MATH - Equivalent (CoT),GSM8K - EM,LegalBench - EM,MedQA - EM,WMT 2014 - BLEU-4
GPT-4o (2024-05-13),1.0,0.9666666666666667,0.9888888888888889,0.9611111111111111,0.8888888888888888,0.8777777777777778,0.8370786516853933,0.9555555555555556,0.9777777777777777,0.9222222222222223
GPT-4o (2024-08-06),0.9666666666666667,0.9444444444444444,0.9777777777777777,0.9777777777777777,0.8666666666666667,0.9111111111111111,0.8651685393258427,0.9,1.0,0.8666666666666667
DeepSeek v3,0.9777777777777777,0.8333333333333334,0.9222222222222223,0.8944444444444445,0.9888888888888889,0.9888888888888889,0.9438202247191011,0.8888888888888888,0.9222222222222223,0.7222222222222222
Claude 3.5 Sonnet (20240620),0.5888888888888889,0.7666666666666667,1.0,1.0,0.9777777777777777,0.8333333333333334,0.9831460674157303,0.8222222222222222,0.9666666666666667,0.9111111111111111
Amazon Nova Pro,0.9444444444444444,1.0,0.6444444444444445,0.9277777777777778,0.9,0.8444444444444444,0.7865168539325843,0.9666666666666667,0.9333333333333333,0.9
GPT-4 (0613),0.7888888888888889,0.9222222222222223,0.9,0.9277777777777778,0.8555555555555555,0.8111111111111111,0.9101123595505618,0.8777777777777778,0.9444444444444444,0.7333333333333333
GPT-4 Turbo (2024-04-09),0.7333333333333333,0.9555555555555556,0.9666666666666667,0.9888888888888889,0.8111111111111111,0.8888888888888888,0.6966292134831461,0.9222222222222223,0.9,0.7777777777777778
Llama 3.1 Instruct Turbo (405B),0.6111111111111112,0.8,0.8666666666666667,0.8111111111111111,0.9111111111111111,0.8666666666666667,0.9831460674157303,0.8333333333333334,0.9111111111111111,0.9444444444444444
Claude 3.5 Sonnet (20241022),0.8222222222222222,0.25555555555555554,0.9333333333333333,0.9611111111111111,1.0,0.9666666666666667,1.0,0.6444444444444445,0.9888888888888889,0.8888888888888888
Gemini 1.5 Pro (002),0.7,0.5777777777777777,0.8555555555555555,0.8777777777777778,0.9666666666666667,1.0,0.6741573033707865,0.9888888888888889,0.8444444444444444,0.9333333333333333
Llama 3.2 Vision Instruct Turbo (90B),0.8555555555555555,0.6888888888888889,0.8888888888888888,0.8222222222222222,0.7777777777777778,0.7888888888888889,0.9213483146067416,0.7777777777777778,0.8277777777777777,0.8444444444444444
Gemini 2.0 Flash (Experimental),0.9222222222222223,0.5444444444444444,0.8111111111111111,0.8388888888888889,0.8333333333333334,0.9555555555555556,0.9662921348314607,0.7444444444444445,0.7666666666666667,0.7444444444444445
Llama 3.3 Instruct Turbo (70B),0.9555555555555556,0.6555555555555556,0.7555555555555555,0.7111111111111111,0.7222222222222222,0.8222222222222222,0.9550561797752809,0.9111111111111111,0.8111111111111111,0.8222222222222222
Llama 3.1 Instruct Turbo (70B),0.8333333333333334,0.6777777777777778,0.8333333333333334,0.7888888888888889,0.8,0.7666666666666667,0.9325842696629213,0.7888888888888889,0.8277777777777777,0.8333333333333334
Palmyra-X-004,0.8444444444444444,0.7888888888888889,0.8777777777777778,0.6888888888888889,0.8777777777777778,0.7444444444444445,0.8370786516853933,0.9333333333333333,0.8666666666666667,0.6222222222222222
Llama 3 (70B),0.9888888888888889,0.7111111111111111,0.9444444444444444,0.7666666666666667,0.7,0.5111111111111111,0.6179775280898876,0.9444444444444444,0.8888888888888888,0.8555555555555555
Qwen2 Instruct (72B),0.43333333333333335,0.8777777777777778,0.5555555555555556,0.8944444444444445,0.9333333333333333,0.7777777777777778,0.8876404494382022,0.8666666666666667,0.7777777777777778,0.7
Qwen2.5 Instruct Turbo (72B),0.5555555555555556,0.3333333333333333,0.4444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.8202247191011236,0.9777777777777777,0.8,0.6888888888888889
Mistral Large 2 (2407),0.8777777777777778,0.6444444444444445,0.8444444444444444,0.75,0.8444444444444444,0.5666666666666667,0.8764044943820225,0.6333333333333333,0.8666666666666667,0.5333333333333333
Gemini 1.5 Pro (001),0.9,0.7444444444444445,0.4888888888888889,0.5444444444444444,0.9555555555555556,0.8555555555555555,0.7528089887640449,1.0,0.6666666666666666,0.4777777777777778
Amazon Nova Lite,0.8111111111111111,0.9888888888888889,0.4111111111111111,0.7111111111111111,0.6888888888888889,0.7555555555555555,0.7078651685393258,0.6666666666666666,0.6944444444444444,0.6444444444444445
Mixtral (8x22B),0.8666666666666667,0.5888888888888889,0.9555555555555556,0.5,0.7333333333333333,0.5,0.6067415730337079,0.8444444444444444,0.7444444444444445,0.7111111111111111
GPT-4o mini (2024-07-18),0.8,0.7222222222222222,0.5333333333333333,0.65,0.6222222222222222,0.8,0.7640449438202247,0.6555555555555556,0.7888888888888889,0.6777777777777778
GPT-4 Turbo (1106 preview),0.4222222222222222,0.8222222222222222,0.7777777777777778,0.8666666666666667,0.7111111111111111,0.9222222222222223,0.34831460674157305,0.4888888888888889,0.9555555555555556,0.6666666666666666
Claude 3 Opus (20240229),0.022222222222222223,0.022222222222222223,0.8,0.9111111111111111,0.9222222222222223,0.7333333333333333,0.898876404494382,0.6888888888888889,0.8666666666666667,0.9666666666666667
Palmyra X V3 (72B),0.3111111111111111,0.4111111111111111,0.6555555555555556,0.7888888888888889,0.75,0.6444444444444445,0.7359550561797753,0.8555555555555555,0.6388888888888888,1.0
Gemma 2 Instruct (27B),0.9333333333333333,0.6222222222222222,0.4222222222222222,0.6277777777777778,0.6111111111111112,0.6888888888888889,0.6292134831460674,0.8111111111111111,0.6388888888888888,0.7666666666666667
Gemini 1.5 Flash (001),0.9111111111111111,0.5555555555555556,0.3,0.7111111111111111,0.7666666666666667,0.7111111111111111,0.550561797752809,0.6777777777777778,0.6111111111111112,0.8777777777777778
PaLM-2 (Unicorn),0.1111111111111111,0.3111111111111111,0.7888888888888889,0.7888888888888889,0.75,0.5555555555555556,0.7359550561797753,0.7666666666666667,0.6388888888888888,0.9888888888888889
Jamba 1.5 Large,0.23333333333333334,0.5222222222222223,0.6222222222222222,0.8555555555555555,0.6777777777777778,0.6,0.7752808988764045,0.7555555555555555,0.7166666666666667,0.6111111111111112
