,crit:complexity,crit:creativity,crit:domain_knowledge,crit:problem_solving,crit:real_world,crit:specificity,crit:technical_accuracy,instruction_following,is_code,lang:Arabic,lang:Chinese,lang:Czech,lang:English,lang:French,lang:German,lang:Italian,lang:Japanese,lang:Korean,lang:Persian,lang:Polish,lang:Portuguese,lang:Russian,lang:Spanish,lang:Turkish,lang:Ukrainian,lang:Vietnamese,lang:unknown,math
claude-2.1,0.4626185605356147,0.41067519047202033,0.45108149301164185,0.44690961057520545,0.44941105883095966,0.4540296657759188,0.461775247733502,0.42917573120618807,0.46173385775155684,0.576530612244898,0.4202848211184439,0.4864864864864865,0.4392681261008663,0.523067331670823,0.4887640449438202,0.48466257668711654,0.45,0.4868421052631579,0.44015444015444016,0.5032679738562091,0.47160493827160493,0.4704234122042341,0.45241379310344826,0.4759036144578313,0.3860759493670886,0.47058823529411764,0.4204801200300075,0.47256502752990315
claude-3-5-sonnet-20240620,0.5927143153670518,0.5380448396793587,0.5740841382376918,0.5743303221763877,0.5703367624223602,0.580017735737511,0.5840091763869592,0.5864729295022082,0.6014760147601476,0.6241379310344828,0.5750390320062451,0.7295918367346939,0.5561570201006928,0.5715434083601286,0.5832809553739786,0.5686813186813187,0.5934482758620689,0.584658187599364,0.5368217054263565,0.5935251798561151,0.5637254901960784,0.5805213354758079,0.5967741935483871,0.6289308176100629,0.5551181102362205,0.5473546701502287,0.5505456634118323,0.6064071493486822
claude-3-haiku-20240307,0.5097632797758591,0.48639606178516687,0.5035948767624583,0.5014021941534113,0.501527754201324,0.5046499929056973,0.508680793829431,0.5060287199801932,0.5170494544174586,0.5428571428571428,0.49303655050781486,0.5424528301886793,0.4940869285771672,0.4971799210377891,0.509985315712188,0.5148698884758365,0.49857954545454547,0.5282466414054426,0.582909460834181,0.5469083155650319,0.5157553290083411,0.5314114314280953,0.49001536098310294,0.5269461077844312,0.5420918367346939,0.45251396648044695,0.5448782324880743,0.5032552520303376
claude-3-opus-20240229,0.5937130750112048,0.5729504162736333,0.589332325868938,0.5895409903692068,0.5871295238667789,0.5888671517899586,0.5913307710316841,0.6007209425004396,0.5886805133292796,0.6088929219600726,0.6235944021605696,0.7017001545595054,0.5600046386799642,0.601179155572461,0.6069014949825927,0.6113914924297044,0.6237016052880076,0.6017666086091067,0.6474074074074074,0.6724137931034483,0.5670336787564767,0.6331624142830666,0.5672653958944281,0.6415770609318996,0.6471036585365854,0.5663856691253951,0.5747633489568973,0.6003517053079735
claude-3-sonnet-20240229,0.5363455000140492,0.5179588449099911,0.5343114005965367,0.5307140802372153,0.533086102593851,0.5345487982750967,0.539637591476539,0.5358889106199882,0.5468636110277408,0.5547619047619048,0.5391947265277035,0.533096926713948,0.5180314283960469,0.5389709628120224,0.5455095252494708,0.5645910780669146,0.5427872860635696,0.534622467771639,0.563165905631659,0.5794491525423728,0.5504115226337448,0.5599540078843627,0.5323721436343852,0.5776566757493188,0.5792291220556746,0.5251004016064257,0.5061219229282125,0.5269577224012099
command-r,0.41926152799047134,0.4818007105002621,0.4543243300408215,0.4371741745755915,0.4555836238752375,0.440782646113347,0.4420997276233111,0.4361134443401354,0.4207466340269278,0.5769230769230769,0.4988207547169811,0.4064039408866995,0.4452344649469459,0.4531772575250836,0.44608171466845276,0.4482758620689655,0.49411764705882355,0.5111821086261981,0.5257633587786259,0.498046875,0.46934865900383144,0.46896780617324924,0.46325167037861914,0.475177304964539,0.473568281938326,0.47155688622754494,0.4583039699318769,0.39323748668796593
command-r-plus,0.47569769254755223,0.5202395787273385,0.5076109656734418,0.49149941692751486,0.506660952436296,0.4949967465663085,0.4994191275670814,0.5033138204817655,0.4690705911089399,0.571917808219178,0.5326726020493868,0.5294117647058824,0.49121447592438994,0.5041793313069909,0.5260695187165776,0.49859353023909986,0.5625711035267349,0.5358126721763086,0.5787119856887298,0.5334302325581395,0.5392817059483727,0.5213019031141869,0.49318624269954575,0.5344827586206896,0.5279411764705882,0.5285132382892057,0.4994208174747642,0.4499954291982814
dbrx-instruct-preview,0.4421863045141545,0.41828582700463557,0.4238608472948458,0.42922752597500374,0.42555469737396434,0.4333134861565942,0.4287627087872186,0.44271138245379277,0.44562434101521314,0.39615384615384613,0.4123409243134628,0.37398373983739835,0.4474840357598978,0.3876500857632933,0.39417360285374553,0.3705263157894737,0.40643863179074446,0.3954802259887006,0.4332344213649852,0.4134078212290503,0.3838951310861423,0.37634105025409376,0.36726546906187624,0.45604395604395603,0.46726190476190477,0.5283018867924528,0.431409452112087,0.4460925392959929
gemini-1.5-pro-api-0409-preview,0.570260243943567,0.6332959044973702,0.6112790850532405,0.5911310008136696,0.6101924524244705,0.5930683657477583,0.5937066622288789,0.5957366487139477,0.5727463312368972,0.55,0.6214965803942605,0.693359375,0.5838243707093822,0.639751552795031,0.6231808731808732,0.585387323943662,0.6499466382070438,0.7188995215311005,0.4423076923076923,0.6169064748201439,0.6260162601626016,0.6225927246790299,0.5917822838847385,0.5915492957746479,0.6071428571428571,0.5573770491803278,0.5209627329192547,0.5581507926903062
gemini-1.5-pro-api-0514,0.5655143180105501,0.5825355699982434,0.5679664845910041,0.5652496554648574,0.5667494207216154,0.562466061983388,0.5607185369548751,0.5673793570729504,0.5677489177489178,0.5944206008583691,0.5931166806571532,0.5645833333333333,0.5484584432541904,0.5650048875855328,0.5642317380352645,0.5725663716814159,0.626243093922652,0.6242625368731564,0.47413793103448276,0.5264227642276422,0.5661764705882353,0.5834086288683081,0.5205331412103746,0.5863970588235294,0.5789473684210527,0.5822091062394603,0.5378088716880024,0.5549554273728369
