model,aime_2025__1,aime_2025__10,aime_2025__11,aime_2025__12,aime_2025__13,aime_2025__14,aime_2025__15,aime_2025__16,aime_2025__17,aime_2025__18,aime_2025__19,aime_2025__2,aime_2025__20,aime_2025__21,aime_2025__22,aime_2025__23,aime_2025__24,aime_2025__25,aime_2025__26,aime_2025__27,aime_2025__28,aime_2025__29,aime_2025__3,aime_2025__30,aime_2025__4,aime_2025__5,aime_2025__6,aime_2025__7,aime_2025__8,aime_2025__9,brumo_2025__1,brumo_2025__10,brumo_2025__11,brumo_2025__12,brumo_2025__13,brumo_2025__14,brumo_2025__15,brumo_2025__16,brumo_2025__17,brumo_2025__18,brumo_2025__19,brumo_2025__2,brumo_2025__20,brumo_2025__21,brumo_2025__22,brumo_2025__23,brumo_2025__24,brumo_2025__25,brumo_2025__26,brumo_2025__27,brumo_2025__28,brumo_2025__29,brumo_2025__3,brumo_2025__30,brumo_2025__4,brumo_2025__5,brumo_2025__6,brumo_2025__7,brumo_2025__8,brumo_2025__9,cmimc_2025__1,cmimc_2025__10,cmimc_2025__11,cmimc_2025__12,cmimc_2025__13,cmimc_2025__14,cmimc_2025__15,cmimc_2025__16,cmimc_2025__17,cmimc_2025__18,cmimc_2025__19,cmimc_2025__2,cmimc_2025__20,cmimc_2025__21,cmimc_2025__22,cmimc_2025__23,cmimc_2025__24,cmimc_2025__25,cmimc_2025__26,cmimc_2025__27,cmimc_2025__28,cmimc_2025__29,cmimc_2025__3,cmimc_2025__30,cmimc_2025__31,cmimc_2025__32,cmimc_2025__33,cmimc_2025__34,cmimc_2025__35,cmimc_2025__36,cmimc_2025__37,cmimc_2025__38,cmimc_2025__39,cmimc_2025__4,cmimc_2025__40,cmimc_2025__5,cmimc_2025__6,cmimc_2025__7,cmimc_2025__8,cmimc_2025__9,hmmt_feb_2025__1,hmmt_feb_2025__10,hmmt_feb_2025__11,hmmt_feb_2025__12,hmmt_feb_2025__13,hmmt_feb_2025__14,hmmt_feb_2025__15,hmmt_feb_2025__16,hmmt_feb_2025__17,hmmt_feb_2025__18,hmmt_feb_2025__19,hmmt_feb_2025__2,hmmt_feb_2025__20,hmmt_feb_2025__21,hmmt_feb_2025__22,hmmt_feb_2025__23,hmmt_feb_2025__24,hmmt_feb_2025__25,hmmt_feb_2025__26,hmmt_feb_2025__27,hmmt_feb_2025__28,hmmt_feb_2025__29,hmmt_feb_2025__3,hmmt_feb_2025__30,hmmt_feb_2025__4,hmmt_feb_2025__5,hmmt_feb_2025__6,hmmt_feb_2025__7,hmmt_feb_2025__8,hmmt_feb_2025__9,smt_2025__1,smt_2025__10,smt_2025__11,smt_2025__12,smt_2025__13,smt_2025__14,smt_2025__15,smt_2025__16,smt_2025__17,smt_2025__18,smt_2025__19,smt_2025__2,smt_2025__20,smt_2025__21,smt_2025__22,smt_2025__23,smt_2025__24,smt_2025__25,smt_2025__26,smt_2025__27,smt_2025__28,smt_2025__29,smt_2025__3,smt_2025__30,smt_2025__31,smt_2025__32,smt_2025__33,smt_2025__34,smt_2025__35,smt_2025__36,smt_2025__37,smt_2025__38,smt_2025__39,smt_2025__4,smt_2025__40,smt_2025__41,smt_2025__42,smt_2025__43,smt_2025__44,smt_2025__45,smt_2025__46,smt_2025__47,smt_2025__48,smt_2025__49,smt_2025__5,smt_2025__50,smt_2025__51,smt_2025__52,smt_2025__53,smt_2025__6,smt_2025__7,smt_2025__8,smt_2025__9
Claude-Sonnet-4.5 (Think),1.0,1.0,0.75,1.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.75,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,0.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.0,0.25,1.0,0.25,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,0.5,1.0,0.0,1.0,0.5,0.75,0.5,0.75,0.75,0.25,1.0,0.25,0.5,0.75,0.25,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.25,1.0,0.25,0.75,0.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.25,1.0,0.0,0.75,1.0,0.25,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.0,1.0,0.75,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0
DeepSeek-R1-0528,1.0,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.5,0.75,1.0,1.0,0.75,0.25,1.0,0.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,0.75,0.5,0.75,0.25,0.25,1.0,0.0,0.5,1.0,0.25,0.25,0.25,1.0,1.0,0.75,1.0,0.0,1.0,0.75,1.0,0.5,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.0,1.0
DeepSeek-v3.1 (Think),1.0,0.75,1.0,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,0.25,0.25,1.0,0.5,1.0,0.75,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,1.0,0.75,1.0,0.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0
DeepSeek-v3.2 (Think),1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,1.0,0.5,1.0,1.0,0.75,0.75,1.0,0.5,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.75,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,1.0,0.75,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.75,1.0,1.0,0.0,1.0
DeepSeek-v3.2-Exp (Think),1.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.5,0.5,1.0,0.75,1.0,0.5,0.75,1.0,0.0,0.75,1.0,0.75,1.0,0.0,1.0,0.25,0.5,1.0,0.75,1.0,0.75,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,0.5,1.0,0.0,1.0,0.5,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,0.75,1.0,1.0,1.0,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,0.0,1.0
DeepSeek-v3.2-Speciale,1.0,1.0,1.0,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
GLM 4.5,1.0,0.75,1.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.0,0.25,0.75,0.25,1.0,1.0,0.5,0.75,1.0,0.5,1.0,0.5,1.0,1.0,0.25,1.0,1.0,0.5,1.0,0.25,1.0,0.5,1.0,1.0,0.75,0.75,0.5,1.0,0.0,0.75,1.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.5,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.75,1.0,0.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.0,1.0,0.25,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,0.75,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.75,0.0,1.0,1.0,0.0,1.0
GLM 4.5 Air,1.0,0.75,0.5,0.5,0.75,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.5,1.0,0.75,1.0,1.0,0.25,0.0,1.0,0.5,1.0,0.75,1.0,1.0,0.0,1.0,1.0,0.5,1.0,0.25,1.0,0.25,0.75,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.25,0.5,1.0,0.5,0.75,1.0,0.0,0.25,0.5,1.0,0.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,0.5,0.5,0.25,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.75,0.75,1.0,0.0,1.0,0.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.75,0.75,1.0,1.0,0.75,1.0,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.25,1.0,1.0,0.0,1.0
GLM 4.6,1.0,0.5,1.0,1.0,0.5,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.75,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.0,1.0
GLM 5,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.25,1.0,1.0,0.5,1.0
