,MTOPDomainClassification,ArguAna,StackExchangeClustering.v2,MassiveIntentClassification,STS12,MindSmallReranking,AskUbuntuDupQuestions,STS22.v2,MedrxivClusteringS2S.v2,SICK-R,StackExchangeClusteringP2P.v2,Banking77Classification,SprintDuplicateQuestions,MassiveScenarioClassification,STS13,AmazonCounterfactualClassification,STS14,FEVERHardNegatives,SCIDOCS,ToxicConversationsClassification,STS17,ArXivHierarchicalClusteringP2P,MedrxivClusteringP2P.v2,TwentyNewsgroupsClustering.v2,ArXivHierarchicalClusteringS2S,TwitterSemEval2015,TRECCOVID,TwitterURLCorpus,BIOSSES,ClimateFEVERHardNegatives,TweetSentimentExtractionClassification,STS15,STSBenchmark,CQADupstackGamingRetrieval,Touche2020Retrieval.v3,CQADupstackUnixRetrieval,ImdbClassification,HotpotQAHardNegatives,FiQA2018,BiorxivClusteringP2P.v2,SummEvalSummarization.v2
jcorners/ingot-8b-r3,0.982672,0.76608,0.79333,0.857666,0.863966,0.3284,0.69028,0.730501,0.441757,0.88411,0.5327,0.872045,0.976531,0.900101,0.94068,0.94,0.904144,0.92485,0.32675,0.916992,0.95721,0.654871,0.463035,0.640003,0.64657,0.901244,0.94949,0.935961,0.885556,0.48939,0.78953,0.937217,0.935493,0.72985,0.76186,0.63594,0.973672,0.77037,0.64575,0.505478,0.369554
infgrad/Jasper-Token-Compression-600M,0.98974,0.7828,0.772287,0.852925,0.860666,0.32766,0.68438,0.733,0.462295,0.852974,0.535364,0.874643,0.983387,0.908507,0.933476,0.935224,0.896326,0.9366,0.2551,0.910596,0.934175,0.661017,0.490064,0.676113,0.638708,0.832028,0.89924,0.889127,0.916792,0.4603,0.785654,0.934661,0.928872,0.70852,0.67939,0.59128,0.971104,0.76669,0.53892,0.519626,0.336626
Kingsoft-LLM/QZhou-Embedding,0.987164,0.84097,0.755257,0.790417,0.902917,0.343727,0.691639,0.798426,0.475841,0.877356,0.551016,0.853669,0.983811,0.908978,0.95668,0.940896,0.927978,0.93779,0.28659,0.901904,0.951533,0.66157,0.499492,0.808033,0.635768,0.867429,0.77639,0.921688,0.930328,0.48821,0.770685,0.952682,0.950436,0.76184,0.50095,0.71231,0.963604,0.81168,0.59555,0.544787,0.330498
Qwen/Qwen3-Embedding-8B,0.983858,0.76852,0.794072,0.858742,0.861378,0.329311,0.701977,0.730981,0.441845,0.885986,0.532911,0.872727,0.959506,0.900101,0.942216,0.939403,0.904208,0.92685,0.32742,0.916455,0.958617,0.648951,0.460863,0.639275,0.654822,0.796559,0.94991,0.869624,0.815856,0.49002,0.789813,0.93729,0.936023,0.72352,0.72969,0.61211,0.97368,0.77031,0.64567,0.513103,0.348325
annamodels/LGAI-Embedding-Preview,0.982467,0.86948,0.791455,0.823974,0.817878,0.326565,0.656017,0.749722,0.475779,0.848918,0.493117,0.913766,0.974453,0.854136,0.904385,0.931791,0.882823,0.93394,0.27257,0.927588,0.90194,0.655244,0.469576,0.680106,0.639664,0.804483,0.901,0.881301,0.862321,0.41965,0.795784,0.919032,0.914649,0.70185,0.5876,0.55831,0.968108,0.76367,0.6099,0.535128,0.389302
Qwen/Qwen3-Embedding-4B,0.97777,0.7564,0.775663,0.850235,0.866139,0.327097,0.688138,0.731069,0.438008,0.880603,0.53485,0.863409,0.960944,0.888265,0.943863,0.937313,0.909367,0.92467,0.31444,0.914355,0.950829,0.648172,0.453245,0.589607,0.651593,0.777787,0.92924,0.871542,0.828507,0.48476,0.784465,0.937673,0.936965,0.71508,0.74648,0.59603,0.9716,0.75219,0.62654,0.509374,0.343928
codefuse-ai/F2LLM-v2-8B,0.99503,0.63,0.803826,0.885205,0.820957,0.3343,0.66992,0.686558,0.54883,0.820451,0.512963,0.913409,0.958743,0.927471,0.870365,0.926866,0.850931,0.92661,0.2797,0.911816,0.915417,0.634989,0.569607,0.61952,0.643986,0.759232,0.58647,0.866204,0.887852,0.4283,0.791483,0.895518,0.870324,0.64737,0.60281,0.56153,0.9705,0.72651,0.59275,0.694199,0.334739
codefuse-ai/F2LLM-v2-14B,0.994642,0.64975,0.808444,0.885844,0.826486,0.33069,0.67577,0.66686,0.565186,0.821847,0.509221,0.916136,0.951997,0.932482,0.872257,0.931194,0.855616,0.93325,0.28418,0.909131,0.913214,0.623108,0.586466,0.619656,0.639114,0.760885,0.58916,0.867674,0.88161,0.4136,0.793067,0.897574,0.873982,0.65722,0.61959,0.56533,0.972288,0.73277,0.61831,0.732015,0.285032
jinaai/jina-embeddings-v5-omni-small,0.989307,0.65071,0.701319,0.890989,0.851146,0.32691,0.66078,0.717488,0.414285,0.916214,0.519501,0.914578,0.965576,0.920545,0.886952,0.931791,0.884952,0.90457,0.2304,0.93667,0.949019,0.657904,0.435063,0.543427,0.62706,0.723109,0.78486,0.859878,0.85158,0.41755,0.720685,0.925753,0.9483,0.62156,0.70593,0.4961,0.9555,0.69939,0.49632,0.476539,0.31773
jinaai/jina-embeddings-v5-text-small,0.989307,0.65071,0.701319,0.890989,0.851146,0.32691,0.66078,0.717488,0.414285,0.916214,0.519501,0.914578,0.965576,0.920545,0.886952,0.931791,0.884952,0.90457,0.2304,0.93667,0.949019,0.657904,0.435063,0.543427,0.62706,0.723109,0.78486,0.859878,0.85158,0.41755,0.720685,0.925753,0.9483,0.62156,0.70593,0.4961,0.9555,0.69939,0.49632,0.476539,0.31773
