,date
jcorners/ingot-8b-r3,20260519
infgrad/Jasper-Token-Compression-600M,20251114
Kingsoft-LLM/QZhou-Embedding,20250801
Qwen/Qwen3-Embedding-8B,20250603
annamodels/LGAI-Embedding-Preview,20250611
Qwen/Qwen3-Embedding-4B,20250603
codefuse-ai/F2LLM-v2-8B,20260309
codefuse-ai/F2LLM-v2-14B,20260310
jinaai/jina-embeddings-v5-omni-small,20260401
jinaai/jina-embeddings-v5-text-small,20260122
NovaSearch/jasper_en_vision_language_v1,20241211
codefuse-ai/F2LLM-v2-4B,20260309
codefuse-ai/F2LLM-4B,20250918
jinaai/jina-embeddings-v5-omni-nano,20260401
jinaai/jina-embeddings-v5-text-nano,20260122
codefuse-ai/F2LLM-v2-1.7B,20260309
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,20250929
Linq-AI-Research/Linq-Embed-Mistral,20240529
Salesforce/SFR-Embedding-Mistral,20240124
nvidia/NV-Embed-v2,20240829
Qwen/Qwen3-Embedding-0.6B,20250603
codefuse-ai/F2LLM-1.7B,20250919
Alibaba-NLP/gte-Qwen2-7B-instruct,20240615
ai-sage/Giga-Embeddings-instruct,20241211
IEITYuan/Yuan-embedding-2.0-en,20251127
NovaSearch/stella_en_1.5B_v5,20240712
google/embeddinggemma-300m,20250717
NovaSearch/stella_en_400M_v5,20240712
codefuse-ai/F2LLM-v2-0.6B,20260302
ICT-TIME-and-Querit/ICT-TIME-and-Querit-embedding-v1,20260430
intfloat/e5-mistral-7b-instruct,20231220
BidirLM/BidirLM-Omni-2.5B-Embedding,20260407
Tarka-AIR/Tarka-Embedding-350M-V1,20251111
Salesforce/SFR-Embedding-2_R,20240614
Alibaba-NLP/gte-Qwen2-1.5B-instruct,20240629
codefuse-ai/F2LLM-0.6B,20250918
GeoGPT-Research-Project/GeoEmbedding,20250526
GritLM/GritLM-7B,20240211
avsolatorio/GIST-large-Embedding-v0,20240214
codefuse-ai/F2LLM-v2-330M,20260309
nvidia/NV-Embed-v1,20240523
GritLM/GritLM-8x7B,20240211
mixedbread-ai/mxbai-embed-large-v1,20240307
WhereIsAI/UAE-Large-V1,20231204
Cohere/Cohere-embed-english-v3.0,20231102
Cohere/Cohere-embed-multilingual-v3.0,20231102
intfloat/multilingual-e5-large-instruct,20240208
avsolatorio/GIST-Embedding-v0,20240131
BAAI/bge-large-en-v1.5,20230912
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised,20240404
infgrad/stella-base-en-v2,20231019
avsolatorio/GIST-small-Embedding-v0,20240203
Tarka-AIR/Tarka-Embedding-150M-V1,20251104
thenlper/gte-large,20230727
Lajavaness/bilingual-embedding-large,20240624
BAAI/bge-base-en-v1.5,20230911
prdev/mini-gte,20250129
VPLabs/SearchMap_Preview,20250305
codefuse-ai/F2LLM-v2-160M,20260309
Cohere/Cohere-embed-english-light-v3.0,20231102
LCO-Embedding/LCO-Embedding-Omni-7B,20251015
Haon-Chen/speed-embedding-7b-instruct,20241031
MongoDB/mdbr-leaf-mt,20250812
thenlper/gte-base,20230727
HIT-TMG/KaLM-embedding-multilingual-mini-v1,20240827
KiteFishAI/Nano-Em1-0.6B-v2,20260720
BAAI/bge-small-en-v1.5,20230912
sdadas/mmlw-e5-large,20231117
abhinand/MedEmbed-small-v0.1,20241020
sdadas/mmlw-roberta-large,20231117
mixedbread-ai/deepset-mxbai-embed-de-large-v1,20240712
nomic-ai/nomic-embed-text-v1,20240131
thenlper/gte-small,20230727
codefuse-ai/F2LLM-v2-80M,20260306
intfloat/e5-large,20221226
LCO-Embedding/LCO-Embedding-Omni-3B,20251023
HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1,20241023
ManiacLabs/miniac-embed,20260214
nomic-ai/nomic-embed-text-v2-moe,20250207
sdadas/mmlw-e5-base,20231117
Snowflake/snowflake-arctic-embed-l-v2.0,20241108
ibm-granite/granite-embedding-english-r2,20250717
intfloat/e5-large-v2,20230519
sdadas/mmlw-roberta-base,20231117
deepvk/USER-bge-m3,20240705
avsolatorio/GIST-all-MiniLM-L6-v2,20240203
nomic-ai/nomic-embed-text-v1-ablated,20240115
intfloat/e5-base-v2,20230519
Lajavaness/bilingual-embedding-base,20240626
hotchpotch/bekko-embedding-v1-a25m,20260719
ibm-granite/granite-embedding-125m-english,20241204
nomic-ai/nomic-embed-text-v1-unsupervised,20240115
Cohere/Cohere-embed-multilingual-light-v3.0,20231101
Snowflake/snowflake-arctic-embed-m-v2.0,20241108
nomic-ai/nomic-embed-text-v1.5,20240210
OrdalieTech/Solon-embeddings-large-0.1,20231209
intfloat/e5-base,20221226
manu/bge-m3-custom-fr,20240411
Snowflake/snowflake-arctic-embed-l,20240412
dwzhu/e5-base-4k,20240328
ibm-granite/granite-embedding-small-english-r2,20250717
voyageai/voyage-3,20240917
Mihaiii/Ivysaur,20240427
Snowflake/snowflake-arctic-embed-m-v1.5,20240703
Snowflake/snowflake-arctic-embed-s,20240412
hotchpotch/bekko-embedding-v1-a8m,20260707
Snowflake/snowflake-arctic-embed-m,20240411
intfloat/e5-small-v2,20230519
intfloat/e5-small,20221207
sdadas/mmlw-e5-small,20231117
intfloat/multilingual-e5-base,20230519
Lajavaness/bilingual-embedding-small,20240717
ibm-granite/granite-embedding-30m-english,20241204
voyageai/voyage-3-lite,20240917
sentence-transformers/all-MiniLM-L6-v2,20220302
Haon-Chen/e5-omni-3B,20260106
ibm-granite/granite-embedding-278m-multilingual,20241204
sentence-transformers/paraphrase-multilingual-mpnet-base-v2,20220302
Mihaiii/gte-micro-v4,20240422
Haon-Chen/e5-omni-7B,20260106
intfloat/multilingual-e5-small,20230630
Tevatron/OmniEmbed-v0.1,20250412
Snowflake/snowflake-arctic-embed-xs,20240412
Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka,20240614
McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-unsup-simcse,20240404
Mihaiii/Bulbasaur,20240427
ibm-granite/granite-embedding-107m-multilingual,20241204
bigscience/sgpt-bloom-7b1-msmarco,20220826
Gameselo/STS-multilingual-mpnet-base-v2,20240607
jinaai/jina-embeddings-v2-base-en,20230927
manu/sentence_croissant_alpha_v0.4,20240427
manu/sentence_croissant_alpha_v0.3,20240426
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,20220302
manu/sentence_croissant_alpha_v0.2,20240315
ai-forever/ru-en-RoSBERTa,20240729
sergeyzh/LaBSE-ru-turbo,20240627
Omartificial-Intelligence-Space/Arabic-MiniLM-L12-v2-all-nli-triplet,20240625
Mihaiii/Wartortle,20240430
Mihaiii/gte-micro,20240421
Omartificial-Intelligence-Space/Arabic-labse-Matryoshka,20240616
omarelshehy/arabic-english-sts-matryoshka,20241013
minishlab/potion-base-32M,20250122
minishlab/potion-retrieval-32M,20250123
encord-team/ebind-full,20251106
Mihaiii/Squirtle,20240430
minishlab/potion-base-8M,20241029
aari1995/German_Semantic_STS_V2,20221117
Mihaiii/Venusaur,20240429
minishlab/potion-base-4M,20241029
sentence-transformers/LaBSE,20220302
sentence-transformers/static-similarity-mrl-multilingual-v1,20241025
sentence-transformers/static-retrieval-mrl-en-v1,20241024
minishlab/M2V_base_glove,20240919
cointegrated/LaBSE-en-ru,20220302
consciousAI/cai-lunaris-text-embeddings,20230622
minishlab/M2V_base_glove_subword,20241002
deepvk/USER-base,20240610
Jaume/gemma-2b-embeddings,20240629
minishlab/potion-base-2M,20241029
minishlab/M2V_base_output,20240919
sergeyzh/rubert-tiny-turbo,20240621
Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet,20240615
cointegrated/rubert-tiny,20220302
cointegrated/rubert-tiny2,20220302
Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka,20240617
silma-ai/silma-embeddding-matryoshka-v0.1,20241012
DeepPavlov/distilrubert-small-cased-conversational,20220628
Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka,20240616
ai-forever/sbert_large_mt_nlu_ru,20220302
DeepPavlov/rubert-base-cased-sentence,20220302
ai-forever/sbert_large_nlu_ru,20220302
DeepPavlov/rubert-base-cased,20220302
deepvk/deberta-v1-base,20230207
malenia1/ternary-weight-embedding,20241023
