system,family
20231010_rag_claude2,claude-2
20231010_rag_gpt35,gpt-3.5
20231010_rag_swellama13b,llama
20231010_rag_swellama7b,llama
20240402_rag_claude3opus,claude-3
20240402_rag_gpt4,gpt-4
20240402_sweagent_claude3opus,claude-3
20240402_sweagent_gpt4,gpt-4
20240509_amazon-q-developer-agent-20240430-dev,
20240612_MASAI_gpt4o,gpt-4o
20240615_appmap-navie_gpt4o,gpt-4o
20240617_factory_code_droid,
20240620_sweagent_claude3.5sonnet,claude-3
20240628_autocoderover-v20240620,
20240721_amazon-q-developer-agent-20240719-dev,
20240728_sweagent_gpt4o,gpt-4o
20240820_epam-ai-run-gpt-4o,gpt-4o
20240820_honeycomb,
20240824_gru,
20240918_lingma-agent_lingma-swe-gpt-72b,
20240918_lingma-agent_lingma-swe-gpt-7b,
20240920_solver,
20240924_solver,
20241001_nfactorial,
20241002_lingma-agent_lingma-swe-gpt-72b,
20241002_lingma-agent_lingma-swe-gpt-7b,
20241007_nfactorial,
20241016_composio_swekit,
20241016_epam-ai-run-gpt-4o,gpt-4o
20241022_tools_claude-3-5-haiku,claude-3.5
20241022_tools_claude-3-5-sonnet-updated,claude-3.5
20241023_emergent,
20241025_composio_swekit,
20241028_agentless-1.5_gpt4o,gpt-4o
20241028_solver,
20241029_epam-ai-run-claude-3-5-sonnet,claude-3.5
20241029_OpenHands-CodeAct-2.1-sonnet-20241022,claude-3
20241030_nfactorial,
20241105_nfactorial,
20241106_navie-2-gpt4o-sonnet,claude-3
20241108_autocoderover-v2.0-claude-3-5-sonnet-20241022,claude-3.5
20241108_devlo,
20241113_nebius-search-open-weight-models-11-24,
20241120_artemis_agent,
20241125_enginelabs,
20241125_marscode-agent-dev,
20241128_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor_20241128,qwen
20241202_agentless-1.5_claude-3.5-sonnet-20241022,claude-3
20241202_amazon-q-developer-agent-20241202-dev,
20241208_gru,
20241212_epam-ai-run-claude-3-5-sonnet,claude-3.5
20241212_google_jules_gemini_2.0_flash_experimental,gemini
20241213_devlo,
20241221_codestory_midwit_claude-3-5-sonnet_swe-search,claude-3.5
20241223_emergent,
20250110_blackboxai_agent_v1.1,
20250110_learn_by_interact_claude3.5,claude-3
20250112_ugaiforge,
20250117_wandb_programmer_o1_crosscheck5,
20250118_codeshellagent_gemini_2.0_flash_experimental,gemini
20250120_Bracket,
20250122_autocoderover-v2.1-claude-3-5-sonnet-20241022,claude-3.5
20250203_openhands_4x_scaled,
20250206_agentscope,
20250214_agentless_lite_o3_mini,
20250224_tools_claude-3-7-sonnet,claude-3.7
20250225_sweagent_claude-3-7-sonnet,claude-3.7
20250226_swerl_llama3_70b,llama
20250228_epam-ai-run-claude-3-5-sonnet,claude-3.5
20250306_SWE-Fixer_Qwen2.5-7b-retriever_Qwen2.5-72b-editor,qwen
20250316_augment_agent_v0,
20250405_amazon-q-developer-agent-20250405-dev,
20250405_swe-rizzo_claude37,claude-3.7
20250410_cortexa,
20250415_openhands,
20250430_zencoder_ai,
20250503_patchpilot-v1.1-o4-mini,o-series
20250511_sweagent_lm_32b,
20250514_aime_coder,
20250515_Refact_Agent,
20250516_cortexa_o3,
20250519_devlo,
20250519_trae,
20250520_openhands_devstral_small,mistral
20250522_sweagent_claude-4-sonnet-20250514,claude-4
20250522_tools_claude-4-opus,claude-4
20250522_tools_claude-4-sonnet,claude-4
20250524_openhands_claude_4_sonnet,claude-3
20250527_amazon.nova-premier-v1.0,
20250528_patchpilot_Co-PatcheR,
20250603_Refact_Agent_claude-4-sonnet,claude-4
20250610_augment_agent_v1,
20250611_moatless_claude-4-sonnet-20250514,claude-4
20250612_trae,
20250616_Skywork-SWE-32B,
20250616_Skywork-SWE-32B+TTS_Bo8,
20250623_warp,
20250627_agentless_MCTS-Refine-7B,
20250629_deepswerl_r2eagent,
20250629_deepswerl_r2eagent_tts,
20250710_bloop,
20250715_qodo_command,
20250716_openhands_kimi_k2,kimi
20250720_Lingxi-v1.5_claude-4-sonnet-20250514,claude-4
20250725_sweagent_devstral_small_2507,mistral
20250728_zai_glm4-5,
20250731_harness_ai,
20250804_codesweep_sweagent_kimi_k2_instruct,kimi
20250804_epam-ai-run-claude-4-sonnet,claude-4
20250805_openhands-Qwen3-Coder-30B-A3B-Instruct,qwen
20250805_openhands-Qwen3-Coder-480B-A35B-Instruct,qwen
20250806_SWE-Exp_DeepSeek-V3,deepseek
20250807_openhands_gpt5,gpt-5
20250819_ACoder,
20250901_entroPO_R2E_QwenCoder30BA3B,qwen
20250901_entroPO_R2E_QwenCoder30BA3B_tts,qwen
20250901_warp,
20250902_atlassian-rovo-dev,
20250915_JoyCode,
20250924_artemis_agent_v2,
20250928_trae_doubao_seed_code,
20250929_Prometheus_v1.2_gpt5,gpt-5
20250930_zai_glm4-6,
20251014_Lingxi_kimi_k2,kimi
20251015_Prometheus_v1.2.1_gpt5,gpt-5
20251021_SalesforceAIResearch_SAGE_bash_only,
20251103_SalesforceAIResearch_SAGE_OpenHands,
20251103_sonar-foundation-agent_claude-sonnet-4-5,claude-4.5
20251110_frogboss-32b,
20251110_frogmini-14b,
20251120_livesweagent_gemini-3-pro-preview,gemini
20251127_openhands_claude-opus-4-5,claude-4.5
20251205_sonar-foundation-agent_claude-opus-4-5,claude-4.5
20251215_livesweagent_claude-opus-4-5,claude-4.5
