method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
AutoGluon 1.3 (4h),0.9965933359318716,0.973763327475407,0.9648361541733849,0.9838948493375331,1.0,1.0,0.8343993174471448,0.875277442790915,1.0,0.9995897777537629,0.9978510683760603,0.9767353179344868,0.9909565700832127,0.9876450186480266,0.9138907165508713,0.9572897344874026,0.7972329305159255,1.0,0.9567432470064985,0.9794989267930053,0.9979391388440862,0.9241044755861091,0.9671662639185653,0.916780187487091,0.9914218139455828,0.992362500923423,0.9974558838562328,1.0,0.9137180261413281,1.0,0.9389477911945286,1.0,0.97442851942684,0.9312829135920748,0.9883880623376248,0.9870179521920389,0.8720383622717394,1.0,0.9409772550525235,0.9858179416088231,0.9935823303202231,0.9360588999540091,0.9548662365541245,0.9455163659595001,0.8663226851217649,0.9960409183819289,0.9936599022667865,0.9833569318974713,1.0,0.9210307820013213,0.956732490991733
CAT (default),0.9923447045638726,0.9794547566870216,0.9111163880325378,0.9878498820727213,0.9403315942169405,0.9853341457002516,0.9807666125297808,0.9101077431721253,0.9861645971922934,0.9968519667283899,0.9945808328242021,0.9891788510072865,0.9844979965718881,0.9611913590161518,0.8479953244131986,0.8650450572079795,0.8245430659178623,0.9921503221054349,0.8871903903395385,0.9770955218487476,1.0,0.8184164466011388,0.9755492015866533,0.9027488854872631,0.9823914712862378,0.967550053635698,0.9814941710460948,0.9979105592454244,0.8894616453438,0.990996269649833,0.7837791603601325,0.9942999241228556,0.9708204217308146,0.9910880446632956,0.9655188658445931,0.9658434300862653,0.7532947243673115,0.9984777399279066,0.9246949284868193,0.975995928327642,0.9796604862974135,0.799672753405976,0.9266778952554303,0.8914214040051225,0.9620794239955617,0.9627308063618052,0.9823236937619623,0.9658614537497588,0.9929232145621477,0.7779780519822714,0.8556122592178971
CAT (tuned + ensemble),0.9910639624334047,0.9873743692768335,0.9439868924831568,0.98692748602411,0.961648220724802,0.9889154490491799,0.9285493539901245,0.8771326753133379,0.9947117652077143,0.9979587282024174,0.9927500031461302,0.9749639178253009,0.9871092528464314,0.9484969493248752,0.8659711138107204,0.874515898127687,0.8526966535529705,0.9933388711515337,0.9432353629946203,0.9946380299059276,0.9989078596441986,0.8043603291938433,0.9669315363255727,0.9139067581925345,0.9833682841468859,0.9932432248139736,0.9820411752379771,0.9980825703492877,0.9084510896287142,0.9909279121327633,0.7800429650069477,0.9963474854483071,0.9722584465837463,0.9871588929086806,0.9666454419471283,0.9791147252937081,0.7921359843082423,0.9966397169616295,0.9435843203921324,0.9880701356346708,0.9836002270989016,0.8453489741939934,0.9244763239907026,0.9158479754682114,0.9130353173065605,0.9615448420697607,0.9901458518087027,0.9693465374859327,0.9902331023442292,0.8775820009702809,0.9310780314553975
CAT (tuned),0.9900401731111477,1.0,0.9221732124718633,0.9884140365205208,0.9658368943048007,0.9865618877687136,0.931532116535621,0.884954612096798,0.9956705255203133,0.9980229012326192,0.9938264763860182,0.9708080800393057,0.9857423011444136,0.9520186147354496,0.8676779574680785,0.8679827392754907,0.8435207781193371,0.9934793348101112,0.943922248956892,0.9939296827762,0.9999012945765916,0.8068826365951742,0.9593773928539332,0.9110281370154897,0.9793226722534987,0.9951552886990708,0.9827124632965389,0.9979105605353673,0.8996268384166201,0.9909962694914094,0.7917449172743869,0.9964731008315691,0.9690660632464954,0.9879845833872758,0.9652303514133271,0.9743387526449953,0.8037400007048764,0.9967578155115399,0.9395400039801697,0.9889972627668006,0.9781662960284578,0.8413738470789642,0.9273587618772966,0.895732002999876,0.9378272524500867,0.9469736901558672,0.9888800368522698,0.9690095686544614,0.9919199535912816,0.8758864510196993,0.9284188954280659
EBM (default),0.979750637680526,0.19955670684888172,0.8362668684450698,0.9638203650267653,0.7108025222451015,0.9111968251038361,0.9858108106914018,0.9035254046965386,0.9405234238238298,0.9910310617353375,0.975449834953933,1.0,0.9722040635030451,0.9510654762047152,0.6289015314110633,0.5188926595448841,0.5600589461804482,0.9808983812458667,0.7926151707245999,0.9735666999613674,0.9791291726093104,0.8666239263005223,0.9671030343834822,0.8889252914237736,0.9404183245328982,0.9725771126088689,0.974619799023042,0.9721800309698486,0.9625342935215241,0.9056436921008422,0.7460354058432905,0.9925452033132629,0.9756519793211152,0.9976799313441062,0.9033317119977254,0.8579199369918895,0.6795834536197659,0.9381668330571262,0.830144449707735,0.7626742415243426,0.9623482071476464,0.5633468751818428,0.9307295024530816,0.9074873423885157,0.9318332050445934,0.9358078172301084,0.9730647684895372,0.8257180168923591,0.9862349333169927,0.02832217018736982,0.5933077364792871
EBM (tuned + ensemble),0.9819641024922172,0.2597567659393978,0.8625483056390217,0.9706977039613374,0.8648849030207878,0.9440955127103503,0.9696384339914723,0.8906270614583273,0.9581806666333179,0.992039481554664,0.9798155216719117,0.9884068307932954,0.9906662878480696,0.9584614261328054,0.7329602233180726,0.5851021648413234,0.6242604112067105,0.9868250042634042,0.809062439594828,0.9825298505291182,0.9823516122388081,0.8743055219047758,0.9734490653263321,0.9250147705384884,0.9535568434912385,0.9591141176167328,0.9780181198753516,0.9736634278952973,0.9595141725243267,0.9106951701842899,0.7994354799721828,0.9988794993175462,0.9825277397186118,0.9946676041008903,0.9126410479271345,0.8716321703999339,0.6842057610982257,0.9599696999445287,0.8420741303059259,0.8149447306807451,0.9649460766806508,0.5681482858216016,0.93764037950074,0.925614240109928,0.9123054319316425,0.9390976790409049,0.9768433391130299,0.864513913450477,0.9857556072334531,0.03125043266501093,0.6135712442816295
EBM (tuned),0.9797872875472776,0.23795022702388502,0.8357847366176276,0.97009864193919,0.8358567461191997,0.9269312552325357,0.9561402345766002,0.8698568909255608,0.9487812638759165,0.9915290175343388,0.9752772427210344,0.9768149904688935,0.9902109239142385,0.9558220321707795,0.719072894456634,0.5653968597383848,0.5620346922358957,0.9865153762507851,0.8047461602745449,0.9808020969640502,0.9806916585504462,0.8669884963805574,0.9750448905306712,0.9015159246234121,0.9428751501182552,0.9411600172661732,0.9760115208746201,0.9736910387059858,0.9449625802635726,0.9095775464790952,0.7978376180576987,0.9988299219537286,0.9817581435530869,0.9939343296935383,0.9102701508060712,0.871752877201308,0.6719706564864797,0.9557652669504632,0.8372300452361668,0.8098092822978279,0.9658560489718255,0.5655825973879047,0.9324941083480087,0.9076842553000656,0.8910696921299724,0.9344504182207102,0.976322187895319,0.8385353979567911,0.9818791636240816,0.029602263707254273,0.5995492752373162
FASTAI (default),0.9449057115087283,0.4679776607075943,0.7688374477117259,0.9551381336713595,0.684572795653522,0.8319566077217164,0.8081002775177533,0.8197673831461575,0.31218961081733376,0.8723379490513865,0.9782819678807293,0.8436917292660835,0.9526550702348291,0.9088549369432554,0.7581610013382418,0.8548879580125598,0.5242971950773283,0.9379116992892222,0.7223706824196601,0.933398865494506,0.9560296067765601,0.8766827116402891,0.9496337781327764,0.677613324970734,0.5861563464171013,0.9433269069011025,0.9629921510188642,0.9977562782257596,0.8222029765667627,0.9539387575570015,0.8894115926183489,0.9708407331489994,0.9091043330426588,0.8584985857970875,0.8600946008062508,0.8828260226174822,0.6259901242779025,0.7102698286766167,0.7468425966709198,0.8840852664836796,0.9368149252348801,0.6378632293145151,0.5050072891703168,0.9085680877259733,0.7060919146692844,0.9370883492293428,0.9732297612382409,0.7083103424675927,0.9094932891221479,0.1949586469786101,0.6374396331958128
FASTAI (tuned + ensemble),0.9798388309976255,0.6926227418416957,0.7957799716307701,0.9694801562613925,0.8004748257025627,0.927890547077329,0.9208303609707831,0.9090165034522156,0.4189097561668351,0.9337639298401833,0.9863723083330925,0.9777032274806092,0.9880045827538086,0.9673666433509793,0.874007803992548,0.9087924617316129,0.6347180250480524,0.9583243725265792,0.8731858496010468,0.9635554130868615,0.9737033779665876,1.0,0.9633263369445291,0.8462535880116152,0.7877767487881069,0.9848682677005711,0.974549122272524,0.9982325710959362,0.9065312455297015,0.9654110164810763,0.9233187430814063,0.9830298341524566,0.9462814601500421,0.9677870441100701,0.8902923828528625,0.9283205876276996,0.6619819516894422,0.8737156401321504,0.7865914748780594,0.9164845524446843,0.968877934058824,0.7465215152610349,0.5788247787407654,0.9447465181319505,0.881543147221616,0.9884005382143549,0.9907835822325993,0.8243528315360561,0.9447867996194242,0.8595626624654333,0.694828173554799
FASTAI (tuned),0.9572480543622315,0.4620654779050464,0.7646021195395388,0.9668965149759279,0.7634808471356166,0.8918055997588884,0.9166979383097915,0.9062388400970698,0.3978908019321824,0.9192772891240231,0.9771569704168322,0.9650625365971165,0.9803087236859981,0.9570370234363774,0.7865787063366237,0.8915551887348871,0.5207449598158485,0.9593260350119555,0.8781605655956428,0.9611418308128845,0.9632955313533372,0.9839363369814866,0.9604040681308671,0.8565662323257127,0.8034627134225394,0.9466240703870209,0.9717212763593375,0.9976278054320329,0.8789651776727452,0.9570990755043667,0.9254236069532401,0.9818007676628348,0.9362295810192875,0.9655068350624785,0.8879959900030986,0.9180888281201262,0.6271160609983448,0.8458606386237949,0.7802286713391983,0.8998064234238865,0.9673975397806691,0.7491928709346376,0.5431584956813227,0.9113996311396815,0.8688162960380467,0.9802807309917936,0.9845826071094014,0.818635267446279,0.9337986319062357,0.8293906300307465,0.6417738302943099
