method,APSFailure,Amazon_employee_access,Another-Dataset-on-used-Fiat-500,Bank_Customer_Churn,Bioresponse,Diabetes130US,E-CommereShippingData,Fitness_Club,Food_Delivery_Time,GiveMeSomeCredit,HR_Analytics_Job_Change_of_Data_Scientists,Is-this-a-good-customer,MIC,Marketing_Campaign,NATICUSdroid,QSAR-TID-11,QSAR_fish_toxicity,SDSS17,airfoil_self_noise,anneal,bank-marketing,blood-transfusion-service-center,churn,coil2000_insurance_policies,concrete_compressive_strength,credit-g,credit_card_clients_default,customer_satisfaction_in_airline,diabetes,diamonds,hazelnut-spread-contaminant-detection,healthcare_insurance_expenses,heloc,hiva_agnostic,houses,in_vehicle_coupon_recommendation,jm1,kddcup09_appetency,maternal_health_risk,miami_housing,online_shoppers_intention,physiochemical_protein,polish_companies_bankruptcy,qsar-biodeg,seismic-bumps,splice,students_dropout_and_academic_success,superconductivity,taiwanese_bankruptcy_prediction,website_phishing,wine_quality
CAT (tuned + ensemble),0.9910639624334047,0.9873743692768335,0.9439868924831568,0.98692748602411,0.961648220724802,0.9889154490491799,0.9285493539901245,0.8771326753133379,0.9947117652077143,0.9979587282024174,0.9927500031461302,0.9749639178253009,0.9871092528464314,0.9484969493248752,0.8659711138107204,0.874515898127687,0.8526966535529705,0.9933388711515337,0.9432353629946203,0.9946380299059276,0.9989078596441986,0.8043603291938433,0.9669315363255727,0.9139067581925345,0.9833682841468859,0.9932432248139736,0.9820411752379771,0.9980825703492877,0.9084510896287142,0.9909279121327633,0.7800429650069477,0.9963474854483071,0.9722584465837463,0.9871588929086806,0.9666454419471283,0.9791147252937081,0.7921359843082423,0.9966397169616295,0.9435843203921324,0.9880701356346708,0.9836002270989016,0.8453489741939934,0.9244763239907026,0.9158479754682114,0.9130353173065605,0.9615448420697607,0.9901458518087027,0.9693465374859327,0.9902331023442292,0.8775820009702809,0.9310780314553975
EBM (tuned + ensemble),0.9819641024922172,0.2597567659393978,0.8625483056390217,0.9706977039613374,0.8648849030207878,0.9440955127103503,0.9696384339914723,0.8906270614583273,0.9581806666333179,0.992039481554664,0.9798155216719117,0.9884068307932954,0.9906662878480696,0.9584614261328054,0.7329602233180726,0.5851021648413234,0.6242604112067105,0.9868250042634042,0.809062439594828,0.9825298505291182,0.9823516122388081,0.8743055219047758,0.9734490653263321,0.9250147705384884,0.9535568434912385,0.9591141176167328,0.9780181198753516,0.9736634278952973,0.9595141725243267,0.9106951701842899,0.7994354799721828,0.9988794993175462,0.9825277397186118,0.9946676041008903,0.9126410479271345,0.8716321703999339,0.6842057610982257,0.9599696999445287,0.8420741303059259,0.8149447306807451,0.9649460766806508,0.5681482858216016,0.93764037950074,0.925614240109928,0.9123054319316425,0.9390976790409049,0.9768433391130299,0.864513913450477,0.9857556072334531,0.03125043266501093,0.6135712442816295
FASTAI (tuned + ensemble),0.9798388309976255,0.6926227418416957,0.7957799716307701,0.9694801562613925,0.8004748257025627,0.927890547077329,0.9208303609707831,0.9090165034522156,0.4189097561668351,0.9337639298401833,0.9863723083330925,0.9777032274806092,0.9880045827538086,0.9673666433509793,0.874007803992548,0.9087924617316129,0.6347180250480524,0.9583243725265792,0.8731858496010468,0.9635554130868615,0.9737033779665876,1.0,0.9633263369445291,0.8462535880116152,0.7877767487881069,0.9848682677005711,0.974549122272524,0.9982325710959362,0.9065312455297015,0.9654110164810763,0.9233187430814063,0.9830298341524566,0.9462814601500421,0.9677870441100701,0.8902923828528625,0.9283205876276996,0.6619819516894422,0.8737156401321504,0.7865914748780594,0.9164845524446843,0.968877934058824,0.7465215152610349,0.5788247787407654,0.9447465181319505,0.881543147221616,0.9884005382143549,0.9907835822325993,0.8243528315360561,0.9447867996194242,0.8595626624654333,0.694828173554799
GBM (tuned + ensemble),0.992840846218841,0.5495474094816905,0.9657166438897719,0.9795936656042552,0.9745243515339996,0.9932758820109517,0.9283480791565055,0.9160911985055887,0.9899683537251727,0.9980618878031895,0.9951903290720661,0.983604008537223,0.9856775271157627,0.9743895685320808,0.8566926779940082,0.9276044771088808,0.7707870051056709,0.9944939703322999,0.916392582356974,0.9827730243460057,0.9996384479062513,0.8715244382462174,0.9596255923303987,0.928431576365948,0.9828137728376621,1.0,0.986818927099771,0.9975887012946302,0.9330090968919047,0.9925023998001837,0.8257326426206419,0.9972762135194091,0.9764152841445385,0.9948835479122554,0.9653286274992535,0.9805966475706454,0.818683948825571,0.9473335263558611,0.9418869304311405,0.9780685771324275,0.9897497196105645,0.8448119870571902,0.9124092691712751,0.9276614115282396,0.9367293930706174,0.9902221938644821,0.9892361988936715,0.9784769907876656,0.9939180542692001,0.8202987154675173,0.9157816556203162
KNN (tuned + ensemble),0.8338234277976475,0.20985256607623215,0.18525508503306298,0.08920999966808651,0.6770996904610864,0.16098224767713165,0.839039589324931,0.7888027028719695,0.3343776452015851,0.3473385338439585,0.33338889247772496,0.14282340736778243,0.6340604433837167,0.11083195211314201,0.01446788490028228,0.7503554575225361,0.41734072987646587,0.65715407414188,0.06628652497705179,0.5084579571838954,0.2797358645012997,0.22983466987887502,0.2313775322998427,0.5038515781079529,0.20922328844406957,0.0910426072623366,0.333965526991721,0.15026848024272976,0.6334860423129243,0.2536992959294432,0.2713960404262783,0.10544664428600103,0.5078643938160836,0.6714233945875847,0.11929251469251156,0.005115348169632217,0.639454253627654,0.11846770057672895,0.9118392608666765,0.5237248608399463,0.4120644250246325,0.16497494331478912,0.30901828303528744,0.4637514586916264,0.5629686760454343,0.2577378281830489,0.8683775263548746,0.8148623215744681,0.24649494998614163,0.3511608836571548,0.5590419376300957
LR (tuned + ensemble),0.9588371157303198,0.42106810217033286,0.7414395560487372,0.7078084230500146,0.04108099427622203,0.8392162375770185,0.45945986278897766,0.9558646446168715,0.2429916284646757,0.9134023546492569,0.953959559058003,0.9433511367319617,0.9011446412538677,0.9562109060136013,0.3680148162642609,0.28954596322262527,0.1173126406687629,0.9332191856245162,0.18690820176274114,0.9775216173944128,0.8889404405129114,0.9956162794621207,0.5400769103519079,0.778832753595875,0.25855411431114883,0.9333565869299821,0.7678681555549431,0.9163521290330743,0.8748758589513718,0.4449498220428626,0.5232619687790918,0.7976712192584379,0.86525862141416,0.0,0.6094929805725368,0.6682813251116557,0.592225808770487,0.8510508992684144,0.6077797549279983,0.13769477072074066,0.8855488826444042,0.2670878986613454,0.6806403211641429,0.7361579158555384,0.8792563350124969,0.7683643720396695,0.9691419650286384,0.019558384802082274,0.9700889021377423,0.019741517556494115,0.3613435229964893
MNCA (tuned + ensemble),0.986342719361412,0.7321928018309136,0.9223950778375141,0.9836099598225153,0.9591680985174941,0.9529963341893082,0.9422348007244115,0.7454133115497747,0.9763199618141538,0.9976883712658765,0.9886106946578127,0.8212196046865088,0.987964436572477,0.9662977426664454,0.7834556064399945,1.0,0.8697146675409729,0.9914557730275083,0.915748809493747,0.9819611731833077,0.9904677674407021,0.5856832289391007,0.9968227158620637,0.9496189446510115,0.9326466869793238,0.9112764607249044,0.995688242102574,0.9975753501597496,0.6976385077779214,0.9978864242881178,0.9476015336499302,0.9866484037735331,0.9788251823905976,0.9810692702208506,1.0,0.9916182259507886,0.9461155920347142,0.9265860797363538,0.9764429181583728,0.9728456432490137,0.9901648663133297,0.9552302777316115,0.952113927424813,0.904850168483693,0.7581415508123952,0.9210487348287846,0.9860862460532975,0.973160402786284,0.9702618076341206,0.8830185584923148,0.9476832020228626
NN_TORCH (tuned + ensemble),0.989999839492477,0.3798460489740534,0.7403867541876328,0.9746697079147254,0.8367019272883258,0.9606279331412841,0.9267031561141168,0.9085039932981603,0.8362217184571727,0.9930410408295104,0.990271464057309,0.9299738826304571,0.9860299486725473,0.9859628783793766,0.8765665009176518,0.9560662297003542,0.7000799996895559,0.987336824713234,0.9334783196171328,0.9763704212216131,0.9598984751959804,0.9183796851504797,0.950256106252445,0.876034720099905,0.9015632426890687,0.966668996806982,0.9854659646038912,0.9978957452150751,0.8358360801689986,0.9718284996578705,0.9377317302650413,0.9944718181898615,0.9550120714194431,0.9847091192595855,0.919112333926839,0.9694216597975511,0.6883915136432304,0.9552910436428441,0.8458935366660078,0.9283980710106212,0.9912912104194079,0.8960953510743869,0.9153468229902921,0.8502497387155745,0.8894291670632495,0.9421455360835332,0.9823842047889497,0.9426587562605788,0.9892892299257251,0.9413139029991682,0.7246313929515213
REALMLP (tuned + ensemble),0.9911493966832088,0.6616274048172249,0.9836129356174532,0.9898767546866818,0.9718785799970793,0.9727497775834106,0.9420859180773857,0.9325536938151817,0.9571420491788544,0.9976157524624173,0.9899235857036219,0.9677483285378803,0.9979801195951735,0.9736531981830169,0.9022557471695758,0.9333005866294701,0.9471386819307808,0.9809192463844175,0.9922431417215687,0.9921285536468483,0.9937994915893649,0.8609846335106626,0.9844512203174103,0.9385317866925087,0.9973627613501814,0.979416776592818,0.9876618108318082,0.9988087535590531,0.9240999760145384,0.9972067338042111,0.9206548134815411,0.9943736903779162,0.9916159201219112,0.9821657583470791,0.9916553199078184,0.9912175149852513,0.7891736694648481,0.9578455173551267,0.9677474520101628,0.9731278753420542,0.9817985833206752,0.9301490157265644,0.9362821543978376,0.9344359653200347,0.9059580345745444,0.9784915001619955,0.9894759020711023,0.9828813057468121,0.9969681894872264,0.9248110590300528,0.9366610169870082
RF (tuned + ensemble),0.9691636890135249,0.383936045077632,0.9279659434574729,0.953224787681847,0.9772859047889074,0.8982964773790878,0.9234619930686839,0.7526432144115919,0.8117079996216703,0.9858802762886614,0.9826295226106001,0.9144478862496076,0.9730437976237715,0.8858400946640482,0.3760340340403314,0.7857898959691662,0.7576005742193523,0.9948217786969535,0.8277039374646304,0.9930449783440749,0.9729670751054877,0.5687455617969115,0.9289080970875717,0.8124170022560236,0.818311148037398,0.9409991569109274,0.9588502606707743,0.9933907179700465,0.8573882409296418,0.9678213486912817,0.6159243240697008,0.982341330129945,0.9273282358684608,0.9993629795705347,0.9046649753119639,0.9155830399549133,0.8810490842686591,0.9256943997788383,0.9549245224420708,0.8605795335392274,0.9683177886772361,0.8164814443780317,0.8458315961183579,0.871238834545967,0.9025190259241259,0.7325537006397811,0.9670935785358631,0.9466209400866565,0.9605243937967582,0.7441902655112653,0.9029417472520768
